"species","taxa_name","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","mass_g","parental_care","repo_type","mobility","trophic_level","habitat_ecology","habitat","min_max","met_type","animal","met_type.1"
"Ammodramus_savannarum","Aves",1.50755939524838,2,1.51,0.572423483530433,3.27183668509356,2.15982721382289,2,5,11,0.701846080373455,0.0597390196717128,0.0259841842230566,17.9,"yes","oviparous","volant","insectivore","terrestrial","terrestrial",11,"endo","Ammodramus_savannarum","endo"
"Ammodramus_savannarum","Aves",1.50755939524838,2,1.7,0.611580303660646,3.22028096814538,2.15982721382289,2,5,11,0.701846080373455,0.0672558499615309,0.0259841842230566,17.9,"yes","oviparous","volant","insectivore","terrestrial","terrestrial",11,"endo","Ammodramus_savannarum","endo"
"Anas_laysanensis","Aves",7.83333333333333,2,0.62,0.41745548474736,5.88858196227192,8.33333333333333,2,24,55,0.717126491709655,0.108441161554623,0.0221192683748606,1082,"yes","oviparous","volant","insectivore","semiaquatic","freshwater",55,"endo","Anas_laysanensis","endo"
"Anser_anser","Aves",5.63362511038704,3,1.0319,0.440767100670466,6.13898248692237,6.09031943725448,3,18,39,0.715809370146398,0.136079445578289,0.0230720958449002,3308.5,"yes","oviparous","volant","herbivore","semiaquatic","terrestrial",39,"endo","Anser_anser","endo"
"Anser_anser","Aves",7.89190650370238,3,1.1316,0.475224450057318,6.83109969298241,8.92140244446427,3,25,58,0.712089997905232,0.165950549252839,0.0246727046586349,3308.5,"yes","oviparous","volant","herbivore","semiaquatic","terrestrial",58,"endo","Anser_anser","endo"
"Anser_anser","Aves",4.45457697642164,3,0.9322,0.405944550535527,5.66809618709103,4.62320850670365,3,14,30,0.727150549132092,0.108845339241766,0.0225264977144349,3308.5,"yes","oviparous","volant","herbivore","semiaquatic","terrestrial",30,"endo","Anser_anser","endo"
"Chen_caerulescens","Aves",5.61797752808989,2,0.349599283666667,0.278008787427415,6.7445260477755,5.61797752808989,5,17,37,0.680823587050306,0.0599209456675747,0.0208331982007946,2630.75,"yes","viviparous","volant","herbivore","terrestrial","terrestrial",37,"endo","Chen_caerulescens","endo"
"Anthropoides_paradiseus","Aves",16.7094799876751,5.00000000000002,3.03861,0.560041102328899,11.5594197836286,27.6342332881974,5,68,174,0.691832134945617,0.349042415801192,0.0473668651136007,5100,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",174,"endo","Anthropoides_paradiseus","endo"
"Bonasa_umbellus","Aves",1.65157329240215,1,0.282214285714286,0.287408233113659,3.6072308815906,1.65157329240215,2,5,10,0.743001767130047,0.0160368614219603,0.0233232380993434,532,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",10,"endo","Bonasa_umbellus","endo"
"Bonasa_umbellus","Aves",1.40066777963272,1,0.2835,0.287877745144556,3.50181336678848,1.40066777963272,2,4,8,0.710560356301507,0.0118660401406449,0.0217289250410193,532,"yes","oviparous","volant","omnivore","terrestrial","terrestrial",8,"endo","Bonasa_umbellus","endo"
