species,taxonomic_class,common_name,max_longevity,mass_g,metabolic_rate_Wg,trophic_level,habitat,habitat_ecology,repo_type,parental_care,mobility,clutch_no,no_clutch_year,repo_size_g,fec_mat_ok,stage_skipped,fec_mat,refs,notes,,
Podocnemis_lewyana,Reptilia,Rio Magdalena River Turtle,,9599,,herbivore,freshwater,benthic,oviparous,no,fw_benthic,16.5,,23.1,,,,Myhrvold et al 2015,http://www.iucn-tftsg.org/wp-content/uploads/file/Accounts/crm_5_024_lewyana_v1_2009.pdf,,
Propithecus_edwardsi,Mammalia,Milne-Edwards's Sifaka,11.05833333,6568.99,,herbivore,terrestrial,arboreal,viviparous,yes,arboreal,1.01,0.62,134.995,,,,Myhrvold et al 2015; Nowak 1999,?,,
Propithecus_verreauxi,Mammalia,Verreaux's Sifaka,30.5,3588.26,0.001238276,herbivore,terrestrial,semiarboreal,viviparous,yes,arboreal,1.02,1,77.64,,,,Myhrvold et al 2015; Healy et al 2014,,,
Puffinus_auricularis,Aves,Townsend's Shearwater,50.91666667,419.8333333,,carnivore-scavanger,marine,pelagic,oviparous,yes,volant,1,1,58,,,,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Rangifer_tarandus,Mammalia,Reindeer,21.7,101250,0.001416755,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1.1,1,5773.67,,,,Myhrvold et al 2015; Healy et al 2014,,,
Salvelinus_confluentus,Actinopterygii,Bull trout,,3102.73,,carnivore,freshwater,river,oviparous,no,fw_river,,,0.09,,,,fishbase,egg mass calculated from egg diamter of 0.56cm (McPhail and Baxter 1996) and a conversion estimate of 0.973 for Kindsvater et al 2016,,
Sceloporus_arenicolus,Reptilia,Dunes Sagebrush Lizard,,6.58,,insectivore,terrestrial,terrestrial,oviparous,no,terrestrial,3.9,2,0.50909,,,,Myhrvold et al 2015,I see no evidence of parental investment but check,,
Sceloporus_grammicus,Reptilia,Mesquite lizard,,5.64,,carnivore,terrestrial,terrestrial,oviparous,no,terrestrial,6,1,0.32,,,,Manrique and Ramirez-Bautista 2010; Myhrvold et al 2015,used birth mass,,
Scolytus_ventralis,Insecta,Fir engraver,,1,,herbivore,terrestrial,terrestrial,oviparous,no,volant,,,,,,,,wieght based on 2cm size and that largerst insect of 11cm is only 100g,,
Setophaga_cerulea,Aves,Cerulean warbler,6,9.05,,insectivore,terrestrial,arboreal,oviparous,yes,volant,4,1,1.49,,,,Myhrvold et al 2015; Handbook of birds of the world,,,
Somateria_mollissima,Aves,common eider,37.8,2092,,carnivore,marine,benthic,oviparous,yes,volant,4.15,1,110,,,,Myhrvold et al 2015; Handbook of birds of the world,,,
Sprattus_sprattus,Actinopterygii,European sprat,6,11.3,,planktiovor,marine,pelagic,oviparous,no,m_pelagic,,,,,,,fishbase Anage,,,
Stellifer_illecebrosus,Actinopterygii,Silver stardrum,,20.83045,,insectivore,marine,benthic,oviparous,no,m_benthic,,,,,,,no data on egg size,,,
Sterna_hirundo,Aves,Common Tern,33,124,,carnivore,marine,pelagic,oviparous,yes,volant,2.5,1,21,,,,Myhrvold et al 2015; Handbook of birds of the world,,,
Sternula_antillarum,Aves,Least Tern,24.1,46.85,,carnivore,marine,pelagic,oviparous,yes,volant,2,1,9.9,,,,Myhrvold et al 2015; Handbook of birds of the world,,,
Strix_occidentalis,Aves,Spotted Owl,25,609.5,0.004684764,carnivore,terrestrial,terrestrial,oviparous,yes,volant,2,1,47,,,,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Tamiasciurus_hudsonicus,Mammalia,Red Squirrel,12,210.8,0.006076389,herbivore,terrestrial,semiarboreal,viviparous,yes,arboreal,4.2,1.725,7,,,,Myhrvold et al 2015; Healy et al 2014,,,
Thalassarche_melanophris,Aves,Black-browed Albatross,43.7,3440,,carnivore-scavanger,marine,pelagic,oviparous,yes,volant,1,0.84,258,,,,Myhrvold et al 2015; Handbook of birds of the world,?,,
Troglodytes_troglodytes,Aves,Eurasian Wren,7,9.225,,insectivore,terrestrial,terrestrial,oviparous,yes,volant,5.555,1.5,1.32,,,,,,,
Turdus_torquatus,Aves,Ring Ouzel,9.1,109,,omnivore,terrestrial,terrestrial,oviparous,yes,volant,4.5,2,7.4,,,,Myhrvold et al 2015; Handbook of birds of the world,,,
Tympanuchus_cupido,Aves,Greater Prairie Chicken,13.5,885.5,,herbivore,terrestrial,terrestrial,oviparous,yes,volant,12,1,24.5,,,,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Umbonium_costatum,Gastropoda,Sand snail,8,2.3,,herbivore,marine,benthic,oviparous,no,sessile,19550,2,0.000002,,,,Noda et al 1991 and Perea et al 2008; maximum is at least 8,22mm diameter from Noda et al 1991 converted to mass using 0.545x(22^2.7)/1000   egg mass calculated from egg diamter of 155um (Noda et al 1994) and a conversion estimate of 0.973 for Kindsvater et al 2016,,
Urocitellus_armatus,Mammalia,Uinta Ground Squirrel,7,310.4,,herbivore,terrestrial,semifossorial,viviparous,yes,semifossorial,5.45,1,60.3,,,,Myhrvold et al 2015,?,,
Urocitellus_columbianus,Mammalia,Columbian Ground Squirrel,4.241666667,468.635,,herbivore,terrestrial,semifossorial,viviparous,yes,semifossorial,3.54,1,9.41,,,,Myhrvold et al 2015,Spermophilus check met,,
Urocyon_littoralis,Mammalia,Island Fox,10.48333333,1906.835,,carnivore,terrestrial,semiarboreal,viviparous,yes,terrestrial,2.385,1.05,100,,,,Myhrvold et al 2015; Healy et al 2014,,,
Ursus_americanus,Mammalia,American Black Bear,34,132405,0.000658172,omnivore,terrestrial,terrestrial,viviparous,yes,terrestrial,2.465,0.4,288.07,,,,Myhrvold et al 2015; Healy et al 2014,,,
Ursus_maritimus,Mammalia,Polar Bear,45,371703.81,,carnivore-scavanger,terrestrial,semiaquatic,viviparous,yes,terrestrial,1.66,0.4,649.625,,,,Myhrvold et al 2015; Healy et al 2014,,,
Vermivora_chrysoptera,Aves,Golden-winged warbler,7.916666667,8.9,,insectivore,terrestrial,semiarboreal,oviparous,yes,volant,4.5,1,1.47,,,,Myhrvold et al 2015; Handbook of birds of the world,,,
Vipera_aspis,Reptilia,Sahara Sand Viper,6,161,,carnivore,terrestrial,terrestrial,viviparous,no,terrestrial,11.5,,6.3,,,,Myhrvold et al 2015; Healy et al in prep venom evolution,offspring mass from Bonnet et al 2001,,
Xenosaurus_grandis,Reptilia,Knob-scaled Lizard,,23.59,,carnivore,terrestrial,terrestrial,viviparous,no,terrestrial,,,,,,,Lemos-Espinal 2004;Myhrvold et al 2015,,,
Xenosaurus_platyceps,Reptilia,Flathead Knob-scaled Lizard,,19.6,,carnivore,terrestrial,terrestrial,viviparous,no,terrestrial,,,,,,,Lemos-Espinal 2004;Myhrvold et al 2015,,,
Zalophus_californianus,Mammalia,California Sealion,35.7,158597.43,,carnivore,marine,pelagic,viviparous,yes,m_pelagic,1.1,0.89,6758.57,,,,Myhrvold et al 2015; Healy et al 2014,,,
Zingel_asper,Actinopterygii,Rhone streber ,,3.147875,,insectivore,freshwater,benthic,oviparous,no,fw_benthic,,,0.005,,,,fishbase,egg mass calculated from egg diamter of 2.2mm (fishbase) and a conversion estimate of 0.973 for Kindsvater et al 2016,,
