species,taxonomic_class,common_name,max_longevity,mass_g,metabolic_rate_Wg,trophic_level,habitat,habitat_ecology,repo_type,parental_care,mobility,clutch_no,no_clutch_year,repo_size_g,fec_mat_ok,stage_skipped,fec_mat,refs,notes,,
Centrocercus_minimus,Aves,Gunnison Grouse,,1650,,omnivore,terrestrial,terrestrial,oviparous,yes,volant,,,42,yes,yes,"The female reproductive parameter F includes as follows: the nest initiation rate, the probability the female will have a successful nest (including renests), average clutch size, and juvenile recruitment (including daily chick survival to 30 days of age and juvenile monthly survival",Myhrvold et al 2015,egg mass average from Apa and Wiechman 2015,,
Cercopithecus_mitis,Mammalia,Blue Monkey,37.8,6116.5,0.002228774,omnivore,terrestrial,arboreal,viviparous,yes,arboreal,1,0.5,391.65,,,FxS,Myhrvold et al 2015; Healy et al 2014,,,
Cervus_elaphus,Mammalia,Red Deer,31.5,160166.665,0.001561782,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1.035,0.905,9258.795,yes,no,"Fecundity was the product of the number of female calves born (sex ratio), intrauterine survival rate, and pregnancy rate",Myhrvold et al 2015; Healy et al 2014,,,
Chelodina_expansa,Reptilia,Giant Snake-necked Turtle,,4744,,carnivore,freshwater,semiaquatic,oviparous,no,fw_benthic,28,,18.34,yes,no,eggs I think,Cann 1998 Australian Freshwater turtles; Bower and Hodges 2014 A Compilation Project of the IUCN SSC Tortoise and Freshwater Turtle Specialist Group; Myhrvold et al 2015,the_wiegth_size_is_for_egg_mass. Probably only have one but may have a second clutch in spring,,
Chelydra_serpentina,Reptilia,Common Snapping Turtle,47,5170,,carnivore,freshwater,semiaquatic,oviparous,no,fw_benthic,26.45,1,12.175,yes,no,Annual  fecundity  (mx) was defined  as the number  of  female  eggs  produced  annually (average clutch size/2  [to adjust  for production  of  males  by  making  an  assumption  of an  equal  primary  sex  ratio]  and  then  multiplied  by  clutch  frequency).,Myhrvold et al 2015,,,
Chen_caerulescens,Aves,Snow Goose,27.5,2630.75,,herbivore,terrestrial,terrestrial,viviparous,yes,volant,,,,,,not_in_analysis,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Chrysemys_picta,Reptilia,Painted Turtle,61,371.8,,omnivore,freshwater,benthic,oviparous,no,fw_benthic,6,2,5.295,no,no,"eggs however matrix in COMADRE seems to have 6.6 eggs per female, much higher that the average of 4.1 given and also does not account for sex ratio",Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,,
Ciconia_ciconia,Aves,White stork,48,3350,,carnivore_scavanger,terrestrial,terrestrial,oviparous,yes,volant,4,1,72.5,,,not_in_analysis,Myhrvold et al 2015; Handbook of birds of the world,,,
Clemmys_guttata,Reptilia,Spotted Turtle,30,165.4,,omnivore,freshwater,benthic,oviparous,no,fw_benthic,4.29,1.2,6.6,yes,no,"Annual fertility was calculated by multiplying average clutch size by average clutch frequency. We assumed that half of all eggs become female, and since only females were used in the model, fertility was halved so that fecundity rep-resents the number of females recruited into the population each year. Fertility was then multiplied by annual adult female survivorship, as adults must survive in order to reproduce, to give an estimate of annual fecundity.",Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,,
Coragyps_atratus,Aves,Black Vulture,25.5,2080.5,,scavanger,terrestrial,terrestrial,viviparous,yes,volant,2,1,70,yes,yes,"In both models, fertility is related to the age-specific proportion  of  females  breeding  (PBs), mean number of female young fledged per female (assuming a 1:1 sex ratio;Fls), and survival of young from fledging to just before age 1 year",Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Crocodylus_johnsoni,Reptilia,"Freshwater Crocodile, Johnstone River Crocodile",20,19500,,carnivore,freshwater,benthic,oviparous,yes,semiaquatic,12.70014347,1,69.7,yes,no,"from Comadre its hatchlings, but I cant access thesis",Myhrvold et al 2015,,,
Cryptophis_nigrescens,Reptilia,"Black-banded Trinket Snake, Red Bamboo Snake",11.6,1465.5,,carnivore,terrestrial,terrestrial,viviparous,no,terrestrial,4.3,,2.3,yes,yes,"recruitment  rate  per  individual,  which  incorporates the birth rate, survival to census, and potential  immigration",Myhrvold et al 2015; Healy et al in prep venom evolution,I cant find evidence of parental care but look again mass from Shine 1984,,
Cyprinus_carpio,Actinopterygii,Common carp,38,542.57,,omnivore,freshwater,river,oviparous,no,fw_river,,,,,,U mattrix needs to have fecundity elements removed,fishbase,,,
Drymarchon_couperi,Reptilia,Eastern indigo snake,25.9,7118,,carnivore,terrestrial,terrestrial,oviparous,no,terrestrial,8,1,63,yes,no,"Fecundity was estimated as the product of average clutch size divided by 2 (assuming a 1:1 hatchling sex ratio; Moulis 1976; Parker and Plummer 1987), nest survival, hatching rate, and probability that a female would breed in a given year (breeding probability). ",Myhrvold et al 2015,median of egg range from Hyslop et al 2012,,
Eidolon_helvum,Mammalia,African Straw-colored Fruit Bat,21.8325,280.43,,herbivore,terrestrial,arboreal,viviparous,yes,volant,1.04,1,49.14,yes,no,pregnacy rates,Myhrvold et al 2015; Healy et al 2014,,,
Elephas_maximus,Mammalia,Asian Elephant,80,3.22E+06,0.000636302,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1,0.23,100038.9,yes,no,pregnacy rates,Myhrvold et al 2015; Healy et al 2014,,,
Emydura_macquarii,Reptilia,Murray River turtle,20.9,1740,,carnivore,freshwater,benthic,oviparous,no,fw_benthic,13.2,2.5,10.075,yes,no,eggs,Cann 1998 Australian Freshwater turtles; Bower and Hodges 2014 A Compilation Project of the IUCN SSC Tortoise and Freshwater Turtle Specialist Group; Myhrvold et al 2015,need to look elswewhere,,check eggmass above here
Enhydra_lutris,Mammalia,Sea Otter,30,943.25,0.004016049,carnivore,marine,pelagic,viviparous,yes,m_pelagic,1,0.83,1909.17,no,yes,"age-specific  reproduction,  defined  as  the  age-specific probability of producing a 1-year-old female offspring",Myhrvold et al 2015; Healy et al 2014,,,
Esox_lucius,Actinopterygii,pike,30,1073.82,,carnivore,freshwater,pelagic,oviparous,no,fw_pelagic,,,0.006,yes,no,eggs,fishbase,egg size is mean from Bondarenko et al 2015,,
Falco_naumanni,Aves,Lesser kestrel,10.91666667,152.5,,carnivore,terrestrial,terrestrial,oviparous,yes,volant,4.2,1,16,,,discarded species,Myhrvold et al 2015; Handbook of birds of the world,,,
Falco_peregrinus,Aves,peregrine falcon,25,827.25,,carnivore,terrestrial,aerial,oviparous,yes,volant,3.5,1,47.1,yes,yes,f t is the number of fledglings per breeding pair in year t,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
