"species","taxa_name","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","mass_g","parental_care","repo_type","mobility","trophic_level","habitat_ecology","habitat","min_max","met_type","animal","met_type.1"
"Marmota_flaviventris","Mammalia",2.06811087987943,2,0.42625184,0.276577579128216,6.15262336024246,1.69541409504672,4,6,15,0.537843352397166,0.00936312189481485,0.028244032344046,3709.73,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",15,"endo","Marmota_flaviventris","endo"
"Marmota_flaviventris","Mammalia",2.16675588726844,2,0.3438402,0.248748051258718,3.87395368786134,2.03978301970007,4,6,13,0.712086360883318,0.0247920518617751,0.022823392943419,3709.73,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",13,"endo","Marmota_flaviventris","endo"
"Mustela_erminea","Mammalia",1.128,1,0.481066666666667,0.364314019854759,4.49955369101838,1.128,3,3,8,0.57914201183432,0.00458211114348506,0.023735050275586,110.33,"yes","viviparous","semifossorial","carnivore","semifossorial","terrestrial",8,"endo","Mustela_erminea","endo"
"Mustela_erminea","Mammalia",1.672,1,0.3275,0.32077346057522,3.85333373309763,1.672,3,5,11,0.721540688955458,0.0175533110484975,0.0248759382567073,110.33,"yes","viviparous","semifossorial","carnivore","semifossorial","terrestrial",11,"endo","Mustela_erminea","endo"
"Phacochoerus_aethiopicus","Mammalia",1.96951731351352,3,0.564545454545454,0.295658776682953,6.62294778100973,4.18794331669746,13,8,14,0.517494730037249,0.0189045189944707,0.0284921431451972,73303.76,"yes","viviparous","terrestrial","omnivore","terrestrial","terrestrial",14,"endo","Phacochoerus_aethiopicus","endo"
"Physeter_macrocephalus","Mammalia",10.6817272547184,4.92310710082385,0.0621,0.0488106044396957,31.9434168207791,19.8019801980198,2,43,118,0.635104415690363,0.00417770334000809,0.0349658139037442,10100000,"yes","viviparous","m_pelagic","carnivore","pelagic","marine",118,"endo","Physeter_macrocephalus","endo"
"Lycalopex_culpaeus","Mammalia",3.91666666666667,2,0.97,0.553195621873002,4.11653260085267,4.16666666666667,3,12,26,0.719966117036583,0.1346097187848,0.0234454434424349,13000,"yes","viviparous","terrestrial","carnivore","terrestrial","terrestrial",26,"endo","Lycalopex_culpaeus","endo"
"Urocitellus_armatus","Mammalia",1.48008235294118,1,0.879666666666667,0.726695738362052,3.71710521498674,1.48008235294118,3,4,8,0.78178667271669,0.0528825323669574,0.0208920517507458,310.4,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",8,"endo","Urocitellus_armatus","endo"
"Urocitellus_armatus","Mammalia",1.68925,1,0.659666666666667,0.548475603368073,3.60814659679962,1.68925,3,5,11,0.713088483615415,0.0375233903547618,0.0249995762316114,310.4,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",11,"endo","Urocitellus_armatus","endo"
"Urocitellus_armatus","Mammalia",1.61970227670753,1,0.704333333333333,0.597498314987454,3.57991905352892,1.61970227670753,3,5,9,0.726454429640736,0.0431958221650587,0.0218126536513857,310.4,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",9,"endo","Urocitellus_armatus","endo"
