"","PC1","PC2","PC3","PC4","PC5","PC6","class_match","species_match","mobility_PCA","mob_match","habitat_PCA","animal"
"1",-0.256876558406651,-1.42648052479858,-0.586956939572729,0.476757281892391,-0.158402764039955,-0.0702368510858715,"Actinopterygii","Cyprinus_carpio","pelagic",2,"marine","Cyprinus_carpio"
"2",0.0892792471428089,-1.89457221192325,-0.960008477344661,1.45607081241187,0.378159395984152,0.406491799055671,"Actinopterygii","Esox_lucius","pelagic",2,"marine","Esox_lucius"
"3",1.29675222147336,-1.512500151934,-0.656752942477839,0.696701003860794,0.1900602732696,0.170919871901595,"Actinopterygii","Maccullochella_peelii","pelagic",2,"marine","Maccullochella_peelii"
"4",-0.457268758967797,-0.921194819393643,-0.506364187048913,0.682640760981815,0.0283478926705078,-0.0133387344203883,"Actinopterygii","Macquaria_ambigua","pelagic",2,"marine","Macquaria_ambigua"
"5",-1.9272566009571,0.583189475361602,-0.836882926823557,1.51478783771878,0.754362881452085,0.538864599244696,"Actinopterygii","Oncorhynchus_tshawytscha","pelagic",2,"marine","Oncorhynchus_tshawytscha"
"6",-1.98865346034013,0.558440737918069,-0.79380674189606,1.69183053792068,0.625736796390458,0.603835347456326,"Actinopterygii","Oncorhynchus_tshawytscha","pelagic",2,"marine","Oncorhynchus_tshawytscha"
"7",-1.86963831998138,0.311344527159604,-0.776767000138873,1.31947220689103,0.190307352430064,0.451857192304206,"Actinopterygii","Oncorhynchus_tshawytscha","pelagic",2,"marine","Oncorhynchus_tshawytscha"
"8",-1.86768324298423,0.0985299426601598,-0.299449463737686,1.25448840919473,0.20773815817635,0.35387199739643,"Actinopterygii","Oncorhynchus_tshawytscha","pelagic",2,"marine","Oncorhynchus_tshawytscha"
"9",-0.787473562363947,-0.598947261008373,0.316371838343608,1.38010388362704,0.844019936802999,0.503121509145033,"Actinopterygii","Salvelinus_confluentus","pelagic",2,"marine","Salvelinus_confluentus"
"10",-1.00702781191992,-2.71967555574349,2.26915243535727,0.182123557844676,0.194874909784527,0.135587329466843,"Actinopterygii","Salvelinus_confluentus","pelagic",2,"marine","Salvelinus_confluentus"
"11",2.87849154032386,-0.15637966630309,-0.934728230502774,-1.03435855604292,0.203277556812806,-0.19277975430543,"Aves","Anarhynchus_frontalis","volant",5,"marine","Anarhynchus_frontalis"
"12",-1.50219453506728,1.95563968473942,0.53930096078757,-2.46046263471106,0.547520734242925,-0.366930599737851,"Aves","Anas_fulvigula","volant",5,"marine","Anas_fulvigula"
"13",-1.85094856432647,0.509501724076146,0.0765954588733456,-0.769552235599533,-0.286530212189757,-0.0675608650069529,"Aves","Anas_platyrhynchos","volant",5,"marine","Anas_platyrhynchos"
"14",-1.84243460581884,0.418886005225885,0.0301416824409149,-0.537909231965831,-0.518395717366474,-0.058777525058705,"Aves","Anas_platyrhynchos","volant",5,"marine","Anas_platyrhynchos"
"15",0.694182104272857,1.25993480643757,0.00580246859076144,0.575338107377497,-0.409270909998233,-0.0241317832442649,"Aves","Coragyps_atratus","volant",5,"terrestrial","Coragyps_atratus"
"16",1.33815943531509,1.51597432444224,0.0198010194606078,0.727131597497767,0.0164761191193642,0.149957448871015,"Aves","Coragyps_atratus","volant",5,"terrestrial","Coragyps_atratus"
"17",-0.361206185953398,-0.12508271811403,0.195740451607644,0.722769390205093,0.115646697661124,-0.341843905368338,"Aves","Hirundo_rustica","volant",5,"terrestrial","Hirundo_rustica"
"18",-1.05440152764725,0.182502074685188,-0.166046256977841,0.00846267519101232,-0.305159070444467,0.441587511806812,"Aves","Jynx_torquilla","volant",5,"terrestrial","Jynx_torquilla"
"19",0.380187627870685,1.8096056116932,0.44597951040699,-0.190519666046498,0.197603918201088,-0.0848145517956446,"Aves","Pernis_apivorus","volant",5,"terrestrial","Pernis_apivorus"
"20",0.247927900078635,1.54076219168506,0.338649812190428,0.127054309735057,0.0934625293830184,-0.0703042895238386,"Aves","Pernis_apivorus","volant",5,"terrestrial","Pernis_apivorus"
"21",0.807169439582355,-0.110328351674072,-0.722557415208077,0.075628293327845,0.282439605260407,-0.124684902595141,"Aves","Phalacrocorax_auritus","volant",5,"marine","Phalacrocorax_auritus"
"22",0.86556670173016,-0.604688693843344,-0.702972568322553,0.210405416573868,0.319406950559433,-0.0378691872642202,"Aves","Phalacrocorax_auritus","volant",5,"marine","Phalacrocorax_auritus"
"23",0.236337291331124,0.0852721660728605,-0.597727147995371,0.121032326261999,-0.0281915716304582,-0.0379470319663588,"Aves","Picoides_borealis","volant",5,"terrestrial","Picoides_borealis"
"24",-0.013718576016185,0.20039110272945,-0.416156677238832,0.115807210460628,0.118510845661647,-0.037931346002167,"Aves","Picoides_borealis","volant",5,"terrestrial","Picoides_borealis"
"25",1.82013857766123,2.19119027646868,0.624230073891224,-0.103028278825211,0.575343664856202,0.248818993548449,"Aves","Thalassarche_melanophris","volant",5,"marine","Thalassarche_melanophris"
"26",-1.8370011347369,-0.904777916378146,-0.0921538111817515,1.10109809110267,-0.0080980783388052,-0.0837309792405523,"Aves","Tympanuchus_cupido","volant",5,"terrestrial","Tympanuchus_cupido"
"27",-0.620036108550794,0.239408191836546,0.0825808127265761,-0.335734185582515,-0.00321264725556677,0.128550827355848,"Aves","Vermivora_chrysoptera","volant",5,"terrestrial","Vermivora_chrysoptera"
"28",-0.5124606051489,0.174555226897316,0.0544936129226661,-0.368473809912076,-0.0307274488263719,0.124948676551287,"Aves","Vermivora_chrysoptera","volant",5,"terrestrial","Vermivora_chrysoptera"
